gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
MAP3K9,18.7541065213312,-0.0210478712814924,0.115710489986759,0.525982957492882,0.880068148890083
RALA,99.1749601649708,-0.0806179169337603,0.109091527562633,0.0721280871002324,0.443323883588679
KDM7A,79.2261067750002,0.0153324783724156,0.0930157611907286,0.626216849768448,0.913653353035666
ETV1,427.3302495447,0.0446413090883418,0.132399167235835,0.242500320709204,0.709741435783578
AGK,90.9088147742509,-0.11895661481307,0.167570228959863,0.0371199708551324,0.331892953432541
PHTF2,168.153057779716,0.0196039450378836,0.073178848605322,0.514481730484077,0.874978847779214
FARP2,151.380383407811,-0.0369269354140644,0.081329238370626,0.26715669173942,0.726538933117
GGCT,18.7928854278904,-0.0240586268449971,0.114862807290218,0.473263660286301,0.860774349057342
DBF4,43.6531583263851,0.0192265434654096,0.0940144128665099,0.547674633818802,0.888558934121578
IFRD1,78.2343927348695,-0.0826826242033112,0.158800718040572,0.0860014353349643,0.484016002994829
COX10,64.9085003602881,0.031859692409052,0.0841854806657366,0.335185099381931,0.781882348455597
GTF2IRD1,156.933053585518,-0.0129163487821946,0.0746695824784538,0.665607923306951,0.927011151173231
PAF1,7.85653003352683,0.00469062622847306,0.097288904220663,0.879111650921347,0.978263563530878
VPS41,174.939308026332,-0.0522465212871685,0.0925117430555915,0.162177409836414,0.611613371422682
ARHGAP44,8.08907428224642,0.0341444248416815,0.148758071630724,0.363741925083633,0.802440787810995
ELAC2,18.2908201429269,-0.0221025331694383,0.0944093275511554,0.494898378287539,0.866091552564922
ARSD,12.9438135341311,0.0721822912311941,0.158203968120349,0.114412438765222,0.542901296922369
ADIPOR2,54.5004145863416,0.0105833993340254,0.0709077822433447,0.716662173952604,0.939506244806103
CDKL3,88.7690194888089,0.0022923347683928,0.0653460575542727,0.934430872208264,0.990133234625952
UPP2,47.7482016210081,-0.000991625968307711,0.10023608623777,0.974379109160115,0.995948915868675
MARK4,121.598835834315,-0.0220420119362941,0.0744879525409619,0.469835341608899,0.860028653447715
PROM1,47.4452118873321,-0.00253942709821524,0.128389458110269,0.938846492129379,0.990133234625952
CCDC124,6.20225826878226,-0.0536938165411923,0.1471977745375,0.190124094142394,0.650083722462172
PAFAH1B1,255.375718161472,-0.0103386336150877,0.0427205287616581,0.597414518431257,0.906250009614217
DNAH9,36.6396705697863,-0.0519553973760365,0.120764522041112,0.184543627286689,0.641355968454319
GAS7,132.089480938154,-0.00888580026654323,0.124652131207057,0.787045793268058,0.955222274470878
TRAPPC6A,7.92008874092881,-0.0341054998086594,0.130776266919954,0.345302537540295,0.789944801343825
ST7L,103.918168079252,0.0209915728992517,0.0668188887125917,0.463831850737527,0.857834936039326
PAX6,16.3031716712237,0.0130118944142244,0.116412422635952,0.688163036684,0.932541349657464
LUC7L,195.935377026917,0.0299848245516372,0.082540461238319,0.357656462626332,0.799110417525971
CACNA2D2,9.58406425843216,0.0392250490056105,0.166199165041305,0.325993918625274,0.774311467421404
PIGQ,9.36019306348516,-0.00286493215853542,0.0985251514236281,0.925970112538937,0.988900120187214
CRAMP1,65.1915565929249,-0.0123871007335878,0.0696938854554,0.669317813156858,0.927364164826106
TEAD3,11.6433698935077,-0.0571078154411925,0.183637470389623,0.199513140071367,0.662436354209318
DNAJC11,60.4612514141962,-0.0127193206163644,0.086726414863348,0.681259617155847,0.929272219533403
MYLIP,7.91791508634446,-0.0463278177803653,0.182830727529115,0.276443889321277,0.734936193561443
PSMB1,29.3297351495507,0.0433411214783501,0.101581223776791,0.234605180590561,0.702545466345789
SYN1,9.73506823509489,0.886130851927308,0.523906579371531,0.000684599969727448,0.0328334145481284
JARID2,213.272075278022,0.00650275174959536,0.075567677582045,0.826690935617478,0.965932778423704
CDKL5,31.8617794201699,-0.0143367006932571,0.110543456568261,0.655447593539603,0.924750064545769
CDK11A,58.523464229498,-0.0326070658174533,0.112524287350522,0.349226762509359,0.792386579580851
NADK,21.2518969082512,0.0119685766141012,0.0923080171846542,0.70060071017182,0.936373037003693
CYTH3,63.6805505687614,0.0432308027170053,0.0921624265623027,0.226587479943497,0.694654038258766
ADAM22,247.063512590307,0.192596693429333,0.274167369252261,0.0190298091862216,0.234143257164255
SYPL1,20.7366516580706,-0.0457445924264817,0.139593214325494,0.23921902615822,0.706636147730242
SPAG9,444.984198759656,-0.025150664476494,0.0812575505889866,0.42964476413861,0.840324940994457
CELSR3,23.5656114717102,0.111477024176741,0.226412389275177,0.061672579241676,0.414099650336505
AASS,203.171323906079,0.494731776341453,0.243123702899926,0.0002743568462964,0.0180743878411749
SS18L2,16.9635606553457,-0.0794402979726121,0.188353842966572,0.108400164775061,0.531963546787906
MPND,5.25179752825162,0.0012555795331289,0.113618892061482,0.968404776303304,0.993862568081608
MGST1,59.0032642221908,0.0496508878850715,0.210678235023761,0.27554353442492,0.73399080735271
CRY1,67.3082060805766,-0.00867363426596115,0.102616434032886,0.781401071613394,0.952521888056864
NFIX,236.109125681794,0.0367347044528161,0.111296568122474,0.301597908042373,0.755254577574782
ST3GAL1,19.4258258359717,-0.678529316618735,0.453418038321238,0.00111815924403571,0.04393577734204
PKD1,107.582181057243,0.0012797830504277,0.0891972166124831,0.9665233510802,0.993862568081608
MAPK8IP2,7.88008815069629,0.0242126607442707,0.118742597418345,0.473824349000896,0.860780900684961
MED24,42.1085718899607,0.00241848538567012,0.0811447529352072,0.935992482295521,0.990133234625952
RHOBTB2,9.42366744022186,0.0216543315760078,0.10665750504296,0.508978963382072,0.872189852122574
HEATR5B,89.3742707505069,-0.0060612187715768,0.0560363524683329,0.810276906800742,0.961098668398297
SEC62,81.8242162762885,0.0347713518052489,0.109237959803395,0.321831159712568,0.770759623157606
RPS20,30.272279471527,-0.00307057303288433,0.105787139323717,0.921565283390888,0.988744666344289
CSDE1,95.3799338360691,0.0370435923562779,0.0774482328113648,0.254036210056348,0.715393603085809
UBE3C,277.860520617591,0.00532214901346133,0.0391978537422062,0.771401056833484,0.950575403025022
REV3L,1234.19080478755,0.0584576337371757,0.134649189496148,0.15661571684718,0.607827563820821
TENM1,478.88250207234,-0.00498619937051342,0.123799087905013,0.878718152105479,0.978257255686601
FAM76A,19.0778776830245,0.0182249442188098,0.105320815510102,0.57232435193781,0.896372894666578
POMT2,36.5608695950015,9.6296512108005e-05,0.0740813946542656,0.997387004145847,0.999617543055755
